timestamp_ms	pending	processing	failed	manual	unhealthy
1785317022225	1	29	123	0	123
1785317037327	5	40	244	0	244
1785317052494	35	64	385	0	385
1785317067620	59	64	570	0	570
1785317082728	98	64	732	0	732
1785317097845	101	64	926	0	969
1785317113019	132	64	1105	0	1105
1785317118624	164	64	977	0	977
1785317123781	177	64	711	0	711
1785317128920	122	64	525	0	525
1785317134119	52	3	397	0	397
1785317139249	4	28	306	0	306
1785317144373	8	24	258	0	265
1785317149480	1	16	222	0	222
1785317154627	17	14	179	0	179
1785317159740	8	18	142	0	142
1785317164876	16	0	99	0	99
1785317170036	26	1	49	0	49
1785317175276	4	15	0	0	0
1785317180502	18	0	0	0	0
1785317185649	12	13	0	0	0
1785317190810	4	15	0	0	0
1785317195962	12	13	0	0	0
1785317201098	2	16	0	0	0
1785317206203	15	0	0	0	0
1785317211326	6	15	0	0	0
1785317216471	0	17	0	0	0
